PID,Block,Code(s),Coded excerpt (paraphrased)
P26,D,2,"Preferred Adaptive long-term, reasoning that its added friction made it more useful, not less tolerable."
P26,E,9,Found Adaptive more predictable because its staged escalation communicated more about what the system was doing.
P26,F,11,Would never use a phone this way in real traffic; this did not otherwise distract him much in the lab.
P26,G,TagA,His professional background in Brake Assist / driving-simulation work made the scenario easy to accept as realistic.
P27,A,"1, 3","Adaptive's pre-signal (red stripe) sometimes appeared before the vehicle was visible, which he read as counterintuitive, followed half a second later by the VHA alert once the car appeared."
P27,A,2,Preferred Baseline for delivering the alert at what felt like the right proximity-based moment.
P27,B,"3, 4","Adaptive's extra lead time did not feel beneficial to him; after initial reflexive stops, later settled into calmer, self-assessed judgements."
P27,C,5,"Crossing while talking took real mental effort (occasional typos from multitasking); Adaptive's red bar ""did not really make a difference"" despite the extra second it provided."
P27,D,"6a, 6c","Preferred over- to under-warning; not annoyed – expected repetition made the alert's seriousness feel consistent, though the surprise factor flattened over the session."
P27,D,2,Would tolerate Baseline long-term.
P27,Closing,TagA,Suggested showing proximity and speed of oncoming vehicles via colour-coding.
P27,Closing,TagA,"Emphasized giving the right amount of information without inducing panic, to support a quick decision."
P27,Closing,TagB,"Asked, after his first trial, whether the ""f"" stage was actually part of the warning system at all – direct evidence of the red-bar comprehension gap."
P28,A,1,Unsure whether a directional icon/arrow was consistently present – described it as blinking too fast to confirm.
P28,A,"2, TagA","Slight preference for Adaptive, valuing the easier-to-test directional cue, though felt the visual design of the two stages did not feel cohesive together."
P28,B,3,"Time to react varied – sometimes plenty, sometimes very little, depending on the trial."
P28,B,4,No strong urge to stop immediately; sometimes glanced up but continued assessing on her own terms.
P28,C,"5, 11","High perceived mental load overall – attributed partly to using an unfamiliar phone/chat and partly to not normally texting while crossing; noted this felt inconsistent with her own questionnaire answers, which hadn't flagged mental load."
P28,D,6a,"Framed most warnings as appropriate rather than unnecessary, given that under normal conditions she wouldn't expect a warning unless truly needed."
P28,D,6b,With time paid less attention to the warnings.
P28,D,2,"Doubted she would use the system, but flagged this as partly a limitation of the study's forced dual-task design rather than of the system itself."
P28,Closing,TagA,"Bundled several concrete suggestions: add vibration, warn earlier, allow more time to read the warning, and include a short onboarding tutorial before first use."
P28,Closing,11,"Said that because the lab setup didn't make her feel real danger, her reactions did not fully mirror how she'd react to genuine risk."
P29,A,"1, TagB","Noted she could keep typing with the left part of the keyboard visible under Adaptive's partial overlay, and questioned what the red bar was communicating."
P29,A,2,Preferred Baseline (the full-screen orange overlay) for conveying urgency unambiguously.
P29,B,3,"Reported having time to react, including the option to simply stop mid-crossing."
P29,C,5,"High but manageable workload, since the conversation topic was substantively engaging; continued typing through the red-bar stage, which did not make her as cautious as the full overlay did."
P29,D,6b,Paid less attention to the road specifically because she trusted the system would warn her.
P29,D,2,Would prefer Baseline long-term.
P29,E,"8, 9",Trusted the system fully to the point of no longer checking the road herself; felt Adaptive's two distinct stages showed more situational awareness (before vs. during crossing).
P29,E,10,A missed real-danger warning would make her reconsider using a phone while walking at all.
P29,Closing,2,Positively noted liking both the icon design and the vibration feedback.
P29,Closing,TagA,Suggested the delete/reset control should remain fully accessible rather than being partly covered by the overlay.
P29,B,3,"Believed she had nearly been hit during her first run, illustrating how differently individual participants judge the same collision proximity."
P29,A,"1, 4","Contrasted the two systems mechanically: Baseline's full-screen block physically prevented her from continuing to type, whereas Adaptive's partial overlay left her still tempted to keep texting."
P29,F,11,"Said she doesn't normally walk and use her phone simultaneously in real life, aside from occasional GPS use."
P30,A,"1, TagB","Distinguished a red-line-plus-""look up"" sequence, but the line alone was initially unclear – wondered if it signalled a phone malfunction."
P30,A,TagA,"Felt a combination of both channels would be most effective, since either the look-up cue or the red bar alone could be overlooked on its own."
P30,B,3,Felt he needed more lead time; warnings sometimes left barely any time to react.
P30,B,4,"Stopped, looked up, and assessed the situation himself once warned."
P30,D,"11, 6a","Flagged one instance where the alarm fired before the vehicle had actually turned, reading it as the system ""not acting well"" in that specific scenario."
P30,D,6c,"Did not find the alerts annoying, framing the system as there to help; noted attention could lapse during a call or while reading, but that using the phone while crossing shouldn't happen regardless."
P30,D,"2, TagA",Would favour the look-up/VHA channel long-term as more efficient; felt the red bar risks being overlooked without user training.
P30,E,7,Rated trust in the look-up/VHA channel at 70–80% vs. 40–50% for the red bar alone; felt combining both channels raised trust further.
P30,E,10,"A single missed warning in a genuinely dangerous scenario would be ""catastrophic"" and stop him using the system again."
P30,F,11,Did not feel like a real-life experience – the projected car was not physically approaching him.
P30,F,11,Said he would not normally type while crossing a street in reality.
P30,Closing,TagA,Wanted additional information: how far away and how many vehicles were approaching.
P30,Closing,TagA,Raised technical concerns about sensor/detection accuracy and suggested the system integrate with other sensing/fusion systems – a systems-engineering-level critique rather than a UX one.
